Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Salesperson,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,DeliveryTime,Day_of_Week,is_weekend,quarter,DiscountValue,month,year,day,dayofweek,weekofyear,Revenue,Month,Month_Year,Quarter,Year,date,Delivery_time
2023-02-23,East,Laptop,14,163.6,Store B,Wholesale,Eva,Online,FREESHIP,0,REG100000,Cust 6583,43.34,2023-02-23,2023-02-27,Eric,4,3,False,1,0.0,2,2023,23,3,8,2290.4,2,2023-02,1,2023,2023-02-23,4
2024-12-19,South,Phone,1,544.01,Store A,Retail,Alice,Gift Card,SAVE10,0,REG100001,Cust 2144,5.3,2024-12-19,2024-12-28,Sophie,9,3,False,4,0.0,12,2024,19,3,51,544.01,12,2024-12,4,2024,2024-12-19,9
2023-05-10,North,Desk,14,346.18,Store B,Wholesale,Alice,Online,WINTER15,0,REG100002,Cust 5998,20.46,2023-05-10,2023-05-19,Ryan,9,2,False,2,34.618,5,2023,10,2,19,4361.868,5,2023-05,2,2023,2023-05-10,9
2023-06-24,East,Desk,18,237.76,Store C,Retail,Carlos,Online,SAVE10,0,REG100004,Cust 6506,5.73,2023-06-24,2023-06-27,Eric,3,5,True,2,0.0,6,2023,24,5,25,4279.68,6,2023-06,2,2023,2023-06-24,3
2024-02-20,Central,Monitor,2,385.09,Store D,Wholesale,Diana,Credit Card,NULL,0,REG100005,Cust 3909,11.92,2024-02-20,2024-03-01,Cameron,10,1,False,1,57.76349999999999,2,2024,20,1,8,654.6529999999999,2,2024-02,1,2024,2024-02-20,10
2023-01-11,South,Chair,7,17.5,Store C,Retail,Alice,Debit Card,WINTER15,0,REG100006,Cust 7887,5.02,2023-01-11,2023-01-14,Sophie,3,2,False,1,1.75,1,2023,11,2,2,110.25,1,2023-01,1,2023,2023-01-11,3
2023-01-09,Central,Chair,3,330.22,Store C,Wholesale,Carlos,Cash,NULL,0,REG100007,Cust 5301,48.01,2023-01-09,2023-01-11,Cameron,2,0,False,1,49.533,1,2023,9,0,2,842.061,1,2023-01,1,2023,2023-01-09,2
2024-10-16,South,Chair,3,432.04,Store D,Wholesale,Bob,Debit Card,FREESHIP,1,REG100008,Cust 2284,42.11,2024-10-16,2024-10-18,Sophie,2,2,False,4,21.602000000000004,10,2024,16,2,42,1231.314,10,2024-10,4,2024,2024-10-16,2
2024-04-10,North,Desk,15,523.29,Store B,Wholesale,Eva,Debit Card,NULL,0,REG100010,Cust 1462,12.14,2024-04-10,2024-04-17,Ryan,7,2,False,2,78.4935,4,2024,10,2,15,6671.947499999999,4,2024-04,2,2024,2024-04-10,7
2024-07-12,East,Phone,19,207.35,Store D,Retail,Eva,Gift Card,NULL,1,REG100011,Cust 4330,44.89,2024-07-12,2024-07-18,Eric,6,4,False,3,20.735,7,2024,12,4,28,3545.685,7,2024-07,3,2024,2024-07-12,6
2023-07-21,Central,Phone,1,120.53,Store B,Retail,Diana,Cash,WINTER15,0,REG100012,Cust 2372,20.35,2023-07-21,2023-07-31,Cameron,10,4,False,3,6.0265,7,2023,21,4,29,114.5035,7,2023-07,3,2023,2023-07-21,10
2024-12-08,North,Desk,15,220.3,Store B,Retail,Diana,Debit Card,NULL,0,REG100014,Cust 4548,39.66,2024-12-08,2024-12-15,Ryan,7,6,True,4,33.045,12,2024,8,6,49,2808.825,12,2024-12,4,2024,2024-12-08,7
2023-02-26,West,Laptop,19,236.11,Store D,Wholesale,Bob,Online,WINTER15,0,REG100016,Cust 4975,34.11,2023-02-26,2023-03-04,Wendy,6,6,True,1,0.0,2,2023,26,6,8,4486.09,2,2023-02,1,2023,2023-02-26,6
2024-05-28,Central,Desk,11,573.14,Store D,Retail,Diana,Cash,SAVE10,0,REG100017,Cust 8014,34.71,2024-05-28,2024-06-01,Cameron,4,1,False,2,28.657,5,2024,28,1,22,5989.313,5,2024-05,2,2024,2024-05-28,4
2023-11-30,East,Phone,20,519.04,Store B,Retail,Carlos,Gift Card,FREESHIP,0,REG100018,Cust 1228,19.43,2023-11-30,2023-12-08,Eric,8,3,False,4,77.856,11,2023,30,3,48,8823.679999999998,11,2023-11,4,2023,2023-11-30,8
2023-06-22,West,Desk,14,30.83,Store B,Retail,Carlos,Online,WINTER15,1,REG100019,Cust 4247,7.1,2023-06-22,2023-07-02,Wendy,10,3,False,2,0.0,6,2023,22,3,25,431.62,6,2023-06,2,2023,2023-06-22,10
2023-03-03,Central,Chair,14,312.79,Store A,Retail,Bob,Online,NULL,1,REG100021,Cust 4186,46.83,2023-03-03,2023-03-08,Cameron,5,4,False,1,15.639500000000002,3,2023,3,4,9,4160.107,3,2023-03,1,2023,2023-03-03,5
2024-02-18,North,Laptop,14,395.45,Store C,Retail,Carlos,Cash,FREESHIP,1,REG100022,Cust 8137,36.45,2024-02-18,2024-02-22,Ryan,4,6,True,1,0.0,2,2024,18,6,7,5536.3,2,2024-02,1,2024,2024-02-18,4
2023-08-06,Central,Laptop,12,472.72,Store D,Retail,Diana,Credit Card,NULL,0,REG100023,Cust 4638,27.97,2023-08-06,2023-08-14,Cameron,8,6,True,3,70.908,8,2023,6,6,31,4821.744000000001,8,2023-08,3,2023,2023-08-06,8
