Date,Revenue,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7
2023-02-04,564.129,17151.248,3923.766000000001,9631.07,6084.508500000001,5717.611786156941
2023-02-05,6056.64,564.129,9848.712,365.7465,5542.783928571429,5476.06606528291
2023-02-06,4196.025000000001,6056.64,3497.325,5608.597499999999,5642.598214285715,5438.809833806228
2023-02-07,7717.0155,4196.025000000001,1642.1794999999995,15796.93,6510.431928571428,5172.230726774638
2023-02-08,12116.8525,7717.0155,4960.776,1460.0725,7532.728571428571,5510.999747334903
2023-02-09,514.805,12116.8525,4927.1900000000005,7384.378,6902.387857142858,6081.4995873463
2023-02-11,13970.394,514.805,17151.248,3490.0199999999995,6447.980142857144,5250.079291422867
2023-02-13,2817.6715,13970.394,564.129,6458.619,6769.914785714286,4885.5900115981285
2023-02-14,10351.907,2817.6715,6056.64,13647.0975,7383.524357142857,5048.105732661687
2023-02-15,7084.701,10351.907,4196.025000000001,14349.917,7796.192357142857,4858.623056453525
2023-02-17,1867.833,7084.701,7717.0155,3483.675,6960.594857142857,5352.396993355458
2023-02-20,561.9345,1867.833,12116.8525,3466.368,5309.892285714285,5278.431744343927
2023-02-21,2554.1145,561.9345,514.805,2775.0,5601.222214285714,5019.6013672042645
2023-02-22,4676.238,2554.1145,13970.394,12822.64,4273.485642857143,3407.1189175497684
2023-02-23,18172.234,4676.238,2817.6715,3187.3559999999998,6466.994571428571,6151.235608240743
2023-02-24,3107.041,18172.234,10351.907,114.19,5432.013714285714,5996.174375528325
2023-02-26,17154.928,3107.041,7084.701,2219.44,6870.617571428572,7482.567735875534
2023-02-27,833.6885,17154.928,1867.833,9856.2435,6722.882642857143,7606.979245110909
2023-03-01,321.176,833.6885,561.9345,3850.578,6688.488571428571,7639.950748864694
2023-03-02,2244.24,321.176,2554.1145,3133.044,6644.220785714286,7668.742439438261
2023-03-03,18826.0215,2244.24,4676.238,5423.283,8665.618428571428,8839.10475291959
2023-03-04,14745.684,18826.0215,18172.234,1079.5030000000002,8176.111285714286,8303.541152505355
2023-03-05,12225.0565,14745.684,3107.041,4295.984,9478.684928571429,8088.2051073297725
2023-03-07,8830.819,12225.0565,17154.928,3923.766000000001,8289.526500000002,7349.724590548319
2023-03-08,3091.756,8830.819,833.6885,9848.712,8612.10757142857,7009.631438199659
2023-03-11,478.992,3091.756,321.176,3497.325,8634.652714285714,6978.7064463769575
2023-03-12,8513.164,478.992,2244.24,1642.1794999999995,9530.213285714286,6400.224549151013
2023-03-13,5968.393,8513.164,18826.0215,4960.776,7693.4092142857135,4973.84517066625
2023-03-14,2580.768,5968.393,14745.684,4927.1900000000005,5955.564071428571,4157.294694058592
2023-03-15,3092.117,2580.768,12225.0565,17151.248,4650.858428571429,3180.0312146508336
2023-03-16,23679.91,3092.117,8830.819,564.129,6772.157142857143,7893.129574084254
2023-03-17,772.083,23679.91,3091.756,6056.64,6440.775285714286,8118.864929291076
2023-03-18,14149.7475,772.083,478.992,4196.025000000001,8393.740357142857,8089.939133513329
2023-03-19,6524.4315,14149.7475,8513.164,7717.0155,8109.635714285715,8119.91108904495
2023-03-20,11278.81,6524.4315,5968.393,12116.8525,8868.266714285714,8134.574716363428
2023-03-21,6016.521000000001,11278.81,2580.768,514.805,9359.088571428572,7788.252968041604
2023-03-22,2817.3165,6016.521000000001,3092.117,13970.394,9319.831357142857,7825.709414280682
2023-03-23,3600.0700000000006,2817.3165,23679.91,2817.6715,6451.282785714286,4767.147680176562
2023-03-24,12449.8305,3600.0700000000006,772.083,10351.907,8119.53242857143,4483.340428853074
2023-03-25,5777.96,12449.8305,14149.7475,7084.701,6923.562785714285,3644.8390986444015
2023-03-26,3075.3,5777.96,6524.4315,1867.833,6430.8297142857145,3929.7886257185883
2023-03-27,8534.218,3075.3,11278.81,561.9345,6038.745142857144,3476.220387832706
2023-03-29,17653.833,8534.218,6016.521000000001,2554.1145,7701.218285714286,5598.626356382355
2023-03-30,6404.909000000001,17653.833,2817.3165,4676.238,8213.7315,5229.036479414388
2023-03-31,4895.567999999999,6404.909000000001,3600.0700000000006,18172.234,8398.802642857143,5058.680860642746
2023-04-02,5110.4295,4895.567999999999,12449.8305,3107.041,7350.316785714285,4834.749655323704
2023-04-05,8763.33,5110.4295,5777.96,17154.928,7776.7982142857145,4804.510398186028
2023-04-06,4687.152,8763.33,3075.3,833.6885,8007.062785714287,4574.760410087031
2023-04-08,7212.9225,4687.152,8534.218,321.176,7818.306285714287,4576.642872921847
2023-04-10,4007.4845,7212.9225,17653.833,2244.24,5868.82792857143,1676.080536940571
2023-04-11,1313.604,4007.4845,6404.909000000001,18826.0215,5141.498642857144,2366.9636912138494
2023-04-12,11041.627499999999,1313.604,4895.567999999999,14745.684,6019.507142857144,3239.594852766728
2023-04-13,336.6765,11041.627499999999,5110.4295,12225.0565,5337.54242857143,3898.3428042005653
2023-04-14,9586.81,336.6765,8763.33,8830.819,5455.182428571429,4029.1818842087114
2023-04-15,9366.676,9586.81,4687.152,3091.756,6123.685857142858,4261.992361135166
2023-04-17,8481.375,9366.676,7212.9225,478.992,6304.893357142858,4342.232180228219
2023-04-18,11789.693,8481.375,4007.4845,8513.164,7416.637428571428,4641.8925261321365
2023-04-20,3174.6000000000004,11789.693,1313.604,5968.393,7682.494000000001,4272.706087171349
2023-04-22,10389.74,3174.6000000000004,11041.627499999999,2580.768,7589.367214285716,4193.661858294372
2023-04-23,7996.1759999999995,10389.74,336.6765,3092.117,8683.58142857143,2729.5798289026025
2023-04-25,2277.5155,7996.1759999999995,9586.81,23679.91,7639.396500000002,3589.1791059535376
2023-04-26,11702.663999999999,2277.5155,9366.676,772.083,7973.109071428573,3873.8512204869694
2023-04-27,10054.148,11702.663999999999,8481.375,14149.7475,8197.790928571429,3953.0442884859694
2023-04-28,9415.317000000001,10054.148,11789.693,6524.4315,7858.594357142857,3686.339284569957
